[0m[ INFO] [1435766960.448365990]: 24 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.190233 , -0.065967 , 0.0721302 ,  , elbowR: , -1.11022e-16 , -3.09336e-17 , 1 , -2.06826e-05 , elbowD: , -0.0132482 , -0.327057 , 0.0105427 , [0m
[0m[ INFO] [1435766960.481732560]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.207627 , -0.302052 , 0.302575 ,  , elbowR: , -1.11022e-16 , -3.09319e-17 , 1 , -2.06826e-05 , elbowD: , -0.0179271 , -0.32669 , 0.0124583 , [0m
[0m[ INFO] [1435766960.515014561]: 26 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.231276 , -0.338418 , 0.29589 ,  , elbowR: , -1.11022e-16 , -3.09319e-17 , 1 , -2.06826e-05 , elbowD: , -0.0183424 , -0.326749 , 0.0104283 , [0m
[0m[ INFO] [1435766960.548369849]: 27 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.220614 , -0.233422 , 0.288526 ,  , elbowR: , -1.11022e-16 , -3.09303e-17 , 1 , -2.06826e-05 , elbowD: , -0.0162478 , -0.326935 , 0.0112627 , [0m
[0m[ INFO] [1435766960.581724044]: 28 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.213276 , -0.15743 , 0.261026 ,  , elbowR: , -1.11022e-16 , -3.09286e-17 , 1 , -2.06826e-05 , elbowD: , -0.0148892 , -0.32701 , 0.0122834 , [0m
[0m[ INFO] [1435766960.615093057]: 29 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.20838 , -0.104143 , 0.223404 ,  , elbowR: , -1.11022e-16 , -3.09286e-17 , 1 , -2.06826e-05 , elbowD: , -0.014401 , -0.32673 , 0.0175136 , [0m
[0m[ INFO] [1435766960.648352522]: 30 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.20838 , -0.104143 , 0.223404 ,  , elbowR: , -1.11022e-16 , -3.09286e-17 , 1 , -2.06826e-05 , elbowD: , -0.014401 , -0.32673 , 0.0175136 , [0m
[0m[ INFO] [1435766960.681760213]: 31 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.203812 , -0.0425121 , 0.153467 ,  , elbowR: , -1.11022e-16 , -3.09277e-17 , 1 , -2.06826e-05 , elbowD: , -0.015155 , -0.326289 , 0.0236866 , [0m
[0m[ INFO] [1435766960.715020791]: 32 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.20312 , -0.0260446 , 0.124521 ,  , elbowR: , -1.11022e-16 , -3.09277e-17 , 1 , -2.06826e-05 , elbowD: , -0.0150719 , -0.326126 , 0.0258773 , [0m
[0m[ INFO] [1435766960.748348429]: 33 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.203136 , -0.0136599 , 0.102747 ,  , elbowR: , -1.11022e-16 , -3.09277e-17 , 1 , -2.06826e-05 , elbowD: , -0.0170602 , -0.326171 , 0.0237076 , [0m
[0m[ INFO] [1435766960.781688022]: 34 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.203399 , -0.00593009 , 0.0821437 ,  , elbowR: , -1.11022e-16 , -3.09277e-17 , 1 , -2.06826e-05 , elbowD: , -0.0174156 , -0.326032 , 0.0252177 , [0m
[0m[ INFO] [1435766960.815072495]: 35 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.203909 , -0.00106169 , 0.0649785 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0170884 , -0.325971 , 0.0265629 , [0m
[0m[ INFO] [1435766960.848349715]: 36 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.203909 , -0.00106169 , 0.0649785 ,  , elbowR: , -1.11022e-16 , -3.0926e-17 , 1 , -2.06826e-05 , elbowD: , -0.0170884 , -0.325971 , 0.0265629 , [0m
