[0m[ INFO] [1435600835.220790542]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.152886 , -0.0645144 , -0.228255 ,  , elbowR: , -0.0441575 , -0.505178 , 0.858506 , -0.0762381 , elbowD: , 0.0505783 , -0.374839 , -0.354266 , [0m
[0m[ INFO] [1435600835.254046352]: 26 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.157547 , -0.0631861 , -0.165425 ,  , elbowR: , -0.04186 , -0.504573 , 0.857453 , -0.091805 , elbowD: , 0.0322372 , -0.376372 , -0.34613 , [0m
[0m[ INFO] [1435600835.287494156]: 27 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.161509 , -0.0496648 , -0.0929278 ,  , elbowR: , -0.00885293 , -0.507868 , 0.856146 , -0.0948988 , elbowD: , 0.029637 , -0.379806 , -0.344784 , [0m
[0m[ INFO] [1435600835.320810274]: 28 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.16089 , -0.0771747 , -0.034914 ,  , elbowR: , -0.00191005 , -0.508028 , 0.856675 , -0.0895141 , elbowD: , 0.0157586 , -0.387877 , -0.335716 , [0m
[0m[ INFO] [1435600835.354158614]: 29 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.166057 , -0.0469918 , 0.0206072 ,  , elbowR: , 0.0125196 , -0.511621 , 0.855548 , -0.0782629 , elbowD: , 0.0102178 , -0.391091 , -0.338299 , [0m
[0m[ INFO] [1435600835.387517669]: 30 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.176242 , -0.034596 , 0.0804076 ,  , elbowR: , 0.0300262 , -0.516124 , 0.853741 , -0.061977 , elbowD: , 0.0193483 , -0.386481 , -0.345445 , [0m
[0m[ INFO] [1435600835.420818422]: 31 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.18721 , -0.0242687 , 0.157819 ,  , elbowR: , 0.0534442 , -0.478929 , 0.875405 , -0.0379085 , elbowD: , 0.00252605 , -0.416433 , -0.321371 , [0m
[0m[ INFO] [1435600835.454167408]: 32 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.191601 , -0.0216222 , 0.221906 ,  , elbowR: , 0.0624268 , -0.489116 , 0.869707 , -0.0218428 , elbowD: , 0.00235393 , -0.413003 , -0.325245 , [0m
[0m[ INFO] [1435600835.487552481]: 33 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.195113 , -0.012993 , 0.275578 ,  , elbowR: , 0.0709704 , -0.487989 , 0.869957 , -0.00228386 , elbowD: , -0.0109956 , -0.417378 , -0.322986 , [0m
[0m[ INFO] [1435600835.520858020]: 34 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.197822 , -0.0186538 , 0.308291 ,  , elbowR: , 0.0709275 , -0.479319 , 0.874694 , 0.0115212 , elbowD: , -0.0111962 , -0.42069 , -0.312032 , [0m
[0m[ INFO] [1435600835.554150956]: 35 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.198016 , -0.0181128 , 0.325112 ,  , elbowR: , 0.0752964 , -0.479306 , 0.873904 , 0.0297919 , elbowD: , -0.0146818 , -0.41978 , -0.308604 , [0m
[0m[ INFO] [1435600835.587510109]: 36 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.194678 , -0.025219 , 0.324356 ,  , elbowR: , 0.0746294 , -0.479222 , 0.873987 , 0.0303812 , elbowD: , 6.47852e-05 , -0.409814 , -0.307593 , [0m
[0m[ INFO] [1435600835.620825908]: 37 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.194727 , -0.00204369 , 0.333713 ,  , elbowR: , 0.057603 , -0.487182 , 0.871177 , 0.0196668 , elbowD: , -0.0180042 , -0.404827 , -0.31063 , [0m
[0m[ INFO] [1435600835.654170312]: 38 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.189719 , 0.0143923 , 0.338925 ,  , elbowR: , 0.0329965 , -0.498566 , 0.865981 , 0.0205027 , elbowD: , -0.0119477 , -0.398775 , -0.312559 , [0m
[0m[ INFO] [1435600835.687555674]: 39 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.188665 , 0.0202875 , 0.342537 ,  , elbowR: , 0.0265529 , -0.490487 , 0.870965 , 0.0117355 , elbowD: , -0.0112196 , -0.397216 , -0.306512 , [0m
[0m[ INFO] [1435600835.720916147]: 40 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.187069 , 0.0378118 , 0.338066 ,  , elbowR: , 0.00310628 , -0.489072 , 0.871683 , 0.031114 , elbowD: , -0.0111822 , -0.399763 , -0.305068 , [0m
[0m[ INFO] [1435600835.754173659]: 41 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.186068 , 0.0496966 , 0.339195 ,  , elbowR: , -0.0288662 , -0.594036 , 0.802751 , 0.0433338 , elbowD: , -0.0104684 , -0.408598 , -0.300164 , [0m
[0m[ INFO] [1435600835.787587469]: 42 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.180475 , 0.0433019 , 0.334339 ,  , elbowR: , -0.0426186 , -0.583152 , 0.809889 , 0.0468855 , elbowD: , -0.00768271 , -0.40866 , -0.29812 , [0m
[0m[ INFO] [1435600835.820823412]: 43 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.172381 , 0.0345077 , 0.30944 ,  , elbowR: , -0.0528587 , -0.571638 , 0.817549 , 0.0452782 , elbowD: , -0.0104082 , -0.408447 , -0.29666 , [0m
[0m[ INFO] [1435600835.854183567]: 44 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.173207 , 0.0354854 , 0.274883 ,  , elbowR: , -0.0483725 , -0.574922 , 0.816067 , 0.0340519 , elbowD: , -0.00154769 , -0.409018 , -0.302377 , [0m
[0m[ INFO] [1435600835.887575952]: 45 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168227 , 0.0835494 , 0.247148 ,  , elbowR: , -0.0488721 , -0.575441 , 0.816115 , 0.0208775 , elbowD: , 0.00350086 , -0.412854 , -0.2991 , [0m
[0m[ INFO] [1435600835.920843077]: 46 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.15917 , 0.113203 , 0.197696 ,  , elbowR: , -0.0471578 , -0.576407 , 0.815796 , 0.00287907 , elbowD: , 0.0058595 , -0.412643 , -0.297477 , [0m
[0m[ INFO] [1435600835.954175866]: 47 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142692 , 0.139902 , 0.157211 ,  , elbowR: , -0.0429153 , -0.576737 , 0.815448 , -0.0240342 , elbowD: , 0.0113717 , -0.409868 , -0.298366 , [0m
[0m[ INFO] [1435600835.987526147]: 48 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.139335 , 0.14346 , 0.120078 ,  , elbowR: , -0.0297801 , -0.578809 , 0.814237 , -0.0333479 , elbowD: , 0.0232235 , -0.415106 , -0.296481 , [0m
[0m[ INFO] [1435600836.020789707]: 49 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142234 , 0.135081 , 0.0586317 ,  , elbowR: , -0.0295969 , -0.58277 , 0.811626 , -0.0276998 , elbowD: , 0.0276163 , -0.418596 , -0.300681 , [0m
[0m[ INFO] [1435600836.054061736]: 50 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.146643 , 0.121747 , -0.00782731 ,  , elbowR: , -0.0331921 , -0.583532 , 0.81034 , -0.0416897 , elbowD: , 0.0297982 , -0.418988 , -0.304195 , [0m
[0m[ INFO] [1435600836.087526866]: 51 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.150107 , 0.113515 , -0.0610088 ,  , elbowR: , -0.0500307 , -0.581075 , 0.807488 , -0.0883866 , elbowD: , 0.0318449 , -0.419998 , -0.306977 , [0m
[0m[ INFO] [1435600836.120880962]: 52 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.16857 , 0.094351 , -0.136333 ,  , elbowR: , -0.0761035 , -0.579731 , 0.80452 , -0.104245 , elbowD: , 0.0183192 , -0.425521 , -0.310511 , [0m
[0m[ INFO] [1435600836.154236430]: 53 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.168801 , 0.074892 , -0.201895 ,  , elbowR: , -0.0786398 , -0.581086 , 0.802581 , -0.109629 , elbowD: , 0.0159489 , -0.425959 , -0.316278 , [0m
[0m[ INFO] [1435600836.187532891]: 54 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.173665 , 0.0665375 , -0.255923 ,  , elbowR: , -0.0851176 , -0.582492 , 0.799835 , -0.117142 , elbowD: , 0.0194031 , -0.42952 , -0.316391 , [0m
[0m[ INFO] [1435600836.220885793]: 55 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.177738 , 0.05746 , -0.31562 ,  , elbowR: , -0.0935683 , -0.586194 , 0.7953 , -0.12296 , elbowD: , 0.0244905 , -0.42463 , -0.324802 , [0m
[0m[ INFO] [1435600836.254184114]: 56 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.18109 , 0.0463432 , -0.375329 ,  , elbowR: , -0.0952873 , -0.584264 , 0.796973 , -0.119958 , elbowD: , 0.0263546 , -0.421891 , -0.327737 , [0m
[0m[ INFO] [1435600836.287558878]: 57 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.183359 , 0.0421489 , -0.405746 ,  , elbowR: , -0.0984855 , -0.582297 , 0.797021 , -0.126441 , elbowD: , 0.031402 , -0.418228 , -0.329181 , [0m
