[0m[ INFO] [1435600751.214451925]: 25 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.175608 , -0.00617541 , 0.305388 ,  , elbowR: , -0.0140119 , -0.563992 , 0.825323 , -0.0236243 , elbowD: , 0.0164177 , -0.348025 , -0.405392 , [0m
[0m[ INFO] [1435600751.247754712]: 26 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.177553 , -0.0182832 , 0.340219 ,  , elbowR: , -6.00602e-05 , -0.558352 , 0.829276 , -0.0233136 , elbowD: , 0.0093724 , -0.345005 , -0.398549 , [0m
[0m[ INFO] [1435600751.281070757]: 27 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.176632 , -0.0200032 , 0.353585 ,  , elbowR: , 0.00701252 , -0.479444 , 0.877458 , -0.0123479 , elbowD: , 0.00820609 , -0.401954 , -0.333934 , [0m
[0m[ INFO] [1435600751.314437917]: 28 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.177977 , -0.0104945 , 0.364274 ,  , elbowR: , 0.00216201 , -0.47523 , 0.879859 , 0.000172384 , elbowD: , 0.0124144 , -0.399911 , -0.328693 , [0m
[0m[ INFO] [1435600751.347795682]: 29 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.17628 , -0.00297202 , 0.368633 ,  , elbowR: , -0.00411822 , -0.469155 , 0.882523 , -0.032099 , elbowD: , 0.00203396 , -0.404719 , -0.317084 , [0m
[0m[ INFO] [1435600751.381047818]: 30 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.173612 , 0.00320413 , 0.366885 ,  , elbowR: , -0.0105301 , -0.467997 , 0.881276 , -0.0649688 , elbowD: , 0.0188748 , -0.401088 , -0.318125 , [0m
[0m[ INFO] [1435600751.414428345]: 31 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.170212 , 0.0140799 , 0.37302 ,  , elbowR: , -0.0133124 , -0.471544 , 0.879541 , -0.0622572 , elbowD: , 0.0260015 , -0.404953 , -0.32123 , [0m
[0m[ INFO] [1435600751.447743004]: 32 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.169066 , 0.025838 , 0.374192 ,  , elbowR: , -0.0192125 , -0.471071 , 0.880647 , -0.0467322 , elbowD: , 0.0266872 , -0.406508 , -0.324006 , [0m
[0m[ INFO] [1435600751.481117797]: 33 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.165533 , 0.0291791 , 0.356431 ,  , elbowR: , -0.0152995 , -0.46949 , 0.882056 , -0.0363703 , elbowD: , 0.0377161 , -0.405139 , -0.318642 , [0m
[0m[ INFO] [1435600751.514351003]: 34 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.160876 , 0.0281092 , 0.342609 ,  , elbowR: , -0.0219093 , -0.470271 , 0.881362 , -0.039581 , elbowD: , 0.0401734 , -0.400665 , -0.314367 , [0m
[0m[ INFO] [1435600751.547738285]: 35 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.153409 , 0.0332076 , 0.338447 ,  , elbowR: , -0.0294377 , -0.467764 , 0.881726 , -0.0537574 , elbowD: , 0.0353068 , -0.402653 , -0.30882 , [0m
[0m[ INFO] [1435600751.581082408]: 36 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.15317 , 0.0396689 , 0.311594 ,  , elbowR: , -0.0339983 , -0.467965 , 0.881647 , -0.0505081 , elbowD: , 0.0412208 , -0.404624 , -0.308047 , [0m
[0m[ INFO] [1435600751.614364198]: 37 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.148012 , 0.0507438 , 0.308321 ,  , elbowR: , -0.0335666 , -0.469902 , 0.880355 , -0.0551382 , elbowD: , 0.0337896 , -0.412326 , -0.301625 , [0m
[0m[ INFO] [1435600751.647744620]: 38 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.148323 , 0.0599561 , 0.278965 ,  , elbowR: , -0.0286833 , -0.471401 , 0.879562 , -0.0576969 , elbowD: , 0.0274203 , -0.421192 , -0.30108 , [0m
[0m[ INFO] [1435600751.680971406]: 39 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.152215 , 0.0630575 , 0.235995 ,  , elbowR: , -0.0388442 , -0.471642 , 0.878301 , -0.0680661 , elbowD: , 0.0194504 , -0.427373 , -0.300916 , [0m
[0m[ INFO] [1435600751.714290166]: 40 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.147819 , 0.0758648 , 0.197415 ,  , elbowR: , -0.0560236 , -0.472622 , 0.875451 , -0.0841146 , elbowD: , 0.0250588 , -0.42802 , -0.30223 , [0m
[0m[ INFO] [1435600751.747623444]: 41 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142333 , 0.0875144 , 0.145655 ,  , elbowR: , -0.0497998 , -0.477517 , 0.873505 , -0.0805416 , elbowD: , 0.0461779 , -0.426087 , -0.305598 , [0m
[0m[ INFO] [1435600751.781047181]: 42 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.132881 , 0.115041 , 0.100353 ,  , elbowR: , -0.061896 , -0.47634 , 0.871982 , -0.0944282 , elbowD: , 0.0442332 , -0.422156 , -0.306325 , [0m
[0m[ INFO] [1435600751.814412167]: 43 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.130431 , 0.132227 , 0.0491773 ,  , elbowR: , -0.0748107 , -0.47827 , 0.870218 , -0.0915583 , elbowD: , 0.0360342 , -0.422232 , -0.307417 , [0m
[0m[ INFO] [1435600751.847753225]: 44 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.130223 , 0.124809 , -0.0040957 ,  , elbowR: , -0.0863336 , -0.458619 , 0.880307 , -0.0852891 , elbowD: , 0.0241855 , -0.427429 , -0.311347 , [0m
[0m[ INFO] [1435600751.881085029]: 45 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.133913 , 0.104021 , -0.0629895 ,  , elbowR: , -0.0815101 , -0.456528 , 0.882701 , -0.0760049 , elbowD: , 0.00704706 , -0.43072 , -0.31687 , [0m
[0m[ INFO] [1435600751.914387184]: 46 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.141639 , 0.0878093 , -0.121692 ,  , elbowR: , -0.079113 , -0.463066 , 0.879573 , -0.0752493 , elbowD: , 0.00497695 , -0.429337 , -0.315051 , [0m
[0m[ INFO] [1435600751.947785609]: 47 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.142608 , 0.0666055 , -0.174245 ,  , elbowR: , -0.0889038 , -0.464122 , 0.877818 , -0.0782404 , elbowD: , 0.00631929 , -0.427852 , -0.311022 , [0m
[0m[ INFO] [1435600751.981069274]: 48 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.14158 , 0.0497609 , -0.219399 ,  , elbowR: , -0.112022 , -0.459304 , 0.878179 , -0.0727534 , elbowD: , 0.0117376 , -0.425222 , -0.317042 , [0m
[0m[ INFO] [1435600752.014421359]: 49 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.13232 , 0.0347156 , -0.261382 ,  , elbowR: , -0.120281 , -0.465225 , 0.874529 , -0.0655498 , elbowD: , 0.0101875 , -0.425429 , -0.318323 , [0m
[0m[ INFO] [1435600752.047746788]: 50 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.126712 , 0.0203337 , -0.288932 ,  , elbowR: , -0.125395 , -0.465595 , 0.87395 , -0.0609033 , elbowD: , 0.00910253 , -0.420703 , -0.319846 , [0m
[0m[ INFO] [1435600752.081068502]: 51 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.123566 , 0.0165722 , -0.281748 ,  , elbowR: , -0.122007 , -0.469617 , 0.872465 , -0.058126 , elbowD: , 0.00398424 , -0.418184 , -0.319555 , [0m
[0m[ INFO] [1435600752.114405183]: 52 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.126514 , 0.01057 , -0.273762 ,  , elbowR: , -0.123071 , -0.465971 , 0.874247 , -0.0584498 , elbowD: , 0.0015847 , -0.413814 , -0.317899 , [0m
[0m[ INFO] [1435600752.147734633]: 53 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.127041 , -0.000407419 , -0.278836 ,  , elbowR: , -0.123645 , -0.445402 , 0.884358 , -0.0651219 , elbowD: , -0.00393183 , -0.406436 , -0.31357 , [0m
[0m[ INFO] [1435600752.181104601]: 54 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.128058 , -0.00432088 , -0.267836 ,  , elbowR: , -0.117144 , -0.435261 , 0.890885 , -0.0561177 , elbowD: , -0.0244314 , -0.40758 , -0.314132 , [0m
[0m[ INFO] [1435600752.214405657]: 55 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.121731 , -0.024583 , -0.266 ,  , elbowR: , -0.10958 , -0.446997 , 0.88666 , -0.0449356 , elbowD: , -0.0378956 , -0.409955 , -0.317072 , [0m
[0m[ INFO] [1435600752.247745299]: 56 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.127457 , -0.0349967 , -0.261449 ,  , elbowR: , -0.0976472 , -0.447191 , 0.887815 , -0.0476461 , elbowD: , -0.0452187 , -0.404138 , -0.324839 , [0m
[0m[ INFO] [1435600752.281073258]: 57 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.136577 , -0.0470828 , -0.242814 ,  , elbowR: , -0.0873106 , -0.447891 , 0.888117 , -0.0549412 , elbowD: , -0.0499194 , -0.40702 , -0.321756 , [0m
[0m[ INFO] [1435600752.314416214]: 58 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.144244 , -0.0868778 , -0.210827 ,  , elbowR: , -0.066908 , -0.447165 , 0.890754 , -0.0460836 , elbowD: , -0.0574039 , -0.406484 , -0.324504 , [0m
[0m[ INFO] [1435600752.347774152]: 59 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.145067 , -0.117679 , -0.190208 ,  , elbowR: , -0.0546564 , -0.448677 , 0.89105 , -0.0416071 , elbowD: , -0.0693516 , -0.404215 , -0.333153 , [0m
[0m[ INFO] [1435600752.381086688]: 60 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.154674 , -0.126747 , -0.162463 ,  , elbowR: , -0.0479034 , -0.488848 , 0.870756 , -0.0227288 , elbowD: , -0.0814439 , -0.381634 , -0.366502 , [0m
[0m[ INFO] [1435600752.414421415]: 61 , feetR: , 0 , 0 , 0 , 1 , feetD: , -0.165999 , -0.129428 , -0.130504 ,  , elbowR: , -0.0357523 , -0.496217 , 0.867228 , -0.0201488 , elbowD: , -0.0830091 , -0.3787 , -0.369377 , [0m
