ID,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,X,Y,Z,x,y,z,w,Class
26,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
27,0.212254,0.777717,0.868806,0.133212,0.0547986,-0.0238013,0.989285,0.055116,0.130074,0.650256,0.815808,0.0920349,-0.0044409,0.570935,0.181342,0.347369,0.72477,0.188671,0.0534238,-0.0272353,0.980208,1
28,0.198397,0.87904,0.87921,0.0907716,0.0147988,-0.000741887,0.995761,0.0832407,0.219174,0.676068,0.825746,0.1014,-0.0309404,0.553989,0.195257,0.440179,0.755928,0.179322,0.0146586,-0.00189791,0.983679,1
29,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
30,0.218219,0.863195,0.840851,0.0553833,0.013388,0.00795533,0.998344,0.118786,0.18203,0.712854,0.834477,0.0728504,-0.0594221,0.542964,0.224929,0.414885,0.76333,0.113445,0.0137342,0.00886128,0.99341,1
31,0.173131,1.49953,-0.030264,-0.223875,-0.486119,0.0459966,0.843477,0.0285479,0.841994,0.185658,0.255508,-0.144045,-0.054969,0.954434,0.112824,1.08386,0.169839,-0.226246,-0.483157,0.0583107,0.843784,0
32,0.228235,1.55137,-0.0347753,-0.0557568,-0.270168,-0.00505086,0.961184,0.0871405,0.863103,-0.0184552,0.144518,0.0862768,-0.0648921,0.983595,0.198657,1.09131,0.0135634,-0.0622025,-0.271185,-0.0284389,0.960094,0
33,0.170489,1.57311,0.107918,-0.0624051,-0.333476,0.0548372,0.939091,0.118284,0.87226,0.149286,0.16194,0.0416745,-0.12365,0.978136,0.192706,1.11477,0.179713,-0.0676089,-0.3346,0.0419729,0.938994,0
34,0.0906482,1.58535,-0.0860516,-0.0697743,-0.381516,0.0694652,0.919104,0.0495759,0.887866,-0.0429303,0.0388706,-0.0610155,-0.109621,0.991337,0.116251,1.13205,-0.00632153,-0.0692019,-0.383272,0.0488434,0.919743,0
35,0.144295,1.49243,0.00785607,-0.0494403,-0.393161,0.073349,0.915205,0.120728,0.7916,0.0308061,0.0691981,-0.0234369,-0.164438,0.983678,0.180128,1.03666,0.0747422,-0.0531802,-0.394596,0.0556656,0.915624,0
36,0.219797,1.2091,0.468471,-0.0228201,0.0270935,-0.0320447,0.998859,0.0744873,0.533679,0.504155,0.628852,0.0960741,-0.0430499,0.770365,0.193322,0.757677,0.489058,-0.0195216,0.027085,-0.028012,0.99905,1
37,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
38,0.235377,0.831088,1.02203,0.315347,0.0337792,-0.00436587,0.948365,0.106084,0.274591,0.612761,0.804999,-0.0170402,-0.0834518,0.58713,0.221986,0.464497,0.74725,0.317288,0.0335794,-0.00386028,0.947727,1
39,0.20947,1.56682,0.0897623,-0.059852,-0.3215,0.100097,0.9397,0.210402,0.866643,0.145864,0.0942543,0.0493794,-0.169654,0.979742,0.270869,1.11648,0.171863,-0.066039,-0.323306,0.0846706,0.940182,0
40,0.202536,0.879905,0.851063,0.112521,0.00791253,0.00705277,0.993593,0.100397,0.218596,0.649648,0.819514,0.122784,-0.0397024,0.55834,0.207712,0.444499,0.725406,0.164634,0.00824199,0.00689672,0.986296,1
41,0.174292,1.11951,0.440928,-0.0475833,0.0482932,-0.0167894,0.997558,0.0517668,0.441952,0.505007,0.706505,0.0597796,-0.0345078,0.704334,0.162761,0.668923,0.47859,-0.0347079,0.0482865,-0.0129829,0.998146,1
42,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
43,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
44,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
45,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
46,0.223125,1.1367,0.368793,-0.0958988,0.0368717,-0.0193914,0.994519,0.0969257,0.467429,0.493047,0.686093,0.0507824,-0.0679807,0.722549,0.209594,0.690759,0.448552,-0.0798621,0.0368338,-0.0171027,0.995978,1
